Country Name,Year,Value,Disaggregation
Serbia,2017,33.239,"Basic, total"
Slovenia,2023,26.017,"Basic, total"
Slovenia,2022,23.41,"Basic, total"
Slovenia,2021,22.505,"Basic, total"
Slovenia,2020,22.587,"Basic, total"
Slovenia,2019,25.185,"Basic, total"
Slovenia,2018,27.539,"Basic, total"
Slovenia,2017,27.856,"Basic, total"
Spain,2023,45.193,"Basic, total"
Spain,2022,44.854,"Basic, total"
Spain,2021,44.95,"Basic, total"
Spain,2020,45.256,"Basic, total"
Spain,2019,47.466,"Basic, total"
Spain,2018,48.201,"Basic, total"
Spain,2017,49.035,"Basic, total"
Sweden,2023,45.718,"Basic, total"
Sweden,2022,44.77,"Basic, total"
Sweden,2021,43.277,"Basic, total"
Sweden,2020,48.792,"Basic, total"
Sweden,2019,49.825,"Basic, total"
Sweden,2018,49.263,"Basic, total"
Sweden,2017,48.2,"Basic, total"
Switzerland,2023,52.152,"Basic, total"
Switzerland,2022,51.474,"Basic, total"
Switzerland,2021,51.028,"Basic, total"
Switzerland,2020,50.834,"Basic, total"
Switzerland,2019,51.609,"Basic, total"
Switzerland,2018,51.913,"Basic, total"
Switzerland,2017,50.387,"Basic, total"
United Kingdom,2023,56.937,"Basic, total"
United Kingdom,2022,58.128,"Basic, total"
United Kingdom,2021,65.577,"Basic, total"
United Kingdom,2020,67.178,"Basic, total"
United Kingdom,2019,68.607,"Basic, total"
United Kingdom,2018,68.779,"Basic, total"
United Kingdom,2017,68.72,"Basic, total"
Albania,2019,62.602,"Intermediate, total"
Albania,2018,62.902,"Intermediate, total"
Albania,2017,63.032,"Intermediate, total"
Austria,2023,63.374,"Intermediate, total"
Austria,2022,63.814,"Intermediate, total"
Austria,2021,62.0,"Intermediate, total"
Austria,2020,62.053,"Intermediate, total"
Austria,2019,63.423,"Intermediate, total"
Austria,2018,63.872,"Intermediate, total"
Austria,2017,63.498,"Intermediate, total"
Belgium,2023,56.71,"Intermediate, total"
Belgium,2022,57.424,"Intermediate, total"
Belgium,2021,56.724,"Intermediate, total"
Belgium,2020,57.481,"Intermediate, total"
Belgium,2019,59.615,"Intermediate, total"
Belgium,2018,60.275,"Intermediate, total"
Belgium,2017,58.542,"Intermediate, total"
Bosnia and Herzegovina,2023,61.308,"Intermediate, total"
Bosnia and Herzegovina,2022,60.672,"Intermediate, total"
Bosnia and Herzegovina,2021,60.519,"Intermediate, total"
Bosnia and Herzegovina,2020,57.621,"Intermediate, total"
Bosnia and Herzegovina,2019,53.338,"Intermediate, total"
Bosnia and Herzegovina,2018,54.182,"Intermediate, total"
Bosnia and Herzegovina,2017,54.58,"Intermediate, total"
Bulgaria,2023,58.554,"Intermediate, total"
Bulgaria,2022,60.652,"Intermediate, total"
Bulgaria,2021,59.15,"Intermediate, total"
Bulgaria,2020,60.827,"Intermediate, total"
Bulgaria,2019,61.983,"Intermediate, total"
Bulgaria,2018,61.106,"Intermediate, total"
Bulgaria,2017,61.947,"Intermediate, total"
Croatia,2023,58.333,"Intermediate, total"
Croatia,2022,59.336,"Intermediate, total"
Croatia,2021,59.323,"Intermediate, total"
Croatia,2020,59.03,"Intermediate, total"
Croatia,2019,59.443,"Intermediate, total"
Croatia,2018,59.986,"Intermediate, total"
Croatia,2017,61.183,"Intermediate, total"
Denmark,2023,65.891,"Intermediate, total"
Denmark,2022,66.158,"Intermediate, total"
Denmark,2021,65.272,"Intermediate, total"
Denmark,2020,65.512,"Intermediate, total"
Denmark,2019,66.401,"Intermediate, total"
Denmark,2018,66.186,"Intermediate, total"
Denmark,2017,65.659,"Intermediate, total"
Estonia,2023,70.262,"Intermediate, total"
Estonia,2022,69.336,"Intermediate, total"
Estonia,2021,67.059,"Intermediate, total"
Estonia,2020,74.826,"Intermediate, total"
Estonia,2019,74.729,"Intermediate, total"
Estonia,2018,75.1,"Intermediate, total"
Estonia,2017,74.599,"Intermediate, total"
Finland,2023,65.267,"Intermediate, total"
Finland,2022,66.771,"Intermediate, total"
Finland,2021,65.224,"Intermediate, total"
Finland,2020,64.475,"Intermediate, total"
Finland,2019,66.117,"Intermediate, total"
Finland,2018,65.727,"Intermediate, total"
Finland,2017,66.342,"Intermediate, total"
France,2023,58.87,"Intermediate, total"
France,2022,59.298,"Intermediate, total"
France,2021,59.159,"Intermediate, total"
France,2020,57.106,"Intermediate, total"
France,2019,59.141,"Intermediate, total"
France,2018,60.466,"Intermediate, total"
France,2017,61.034,"Intermediate, total"
Germany,2023,63.303,"Intermediate, total"
Germany,2022,63.199,"Intermediate, total"
Germany,2021,63.047,"Intermediate, total"
Germany,2020,63.006,"Intermediate, total"
Germany,2019,64.988,"Intermediate, total"
Germany,2018,64.573,"Intermediate, total"
Germany,2017,64.753,"Intermediate, total"
Greece,2023,59.74,"Intermediate, total"
Greece,2022,59.669,"Intermediate, total"
Greece,2021,58.199,"Intermediate, total"
Greece,2020,58.4,"Intermediate, total"
Greece,2019,59.712,"Intermediate, total"
