Country,Year,Percentage,Type
Cyprus,2019,20508,Female
Latvia,2019,11830,Female
Lithuania,2019,11052,Female
Luxembourg,2019,44081,Female
Hungary,2019,7977,Female
Malta,2019,23083,Female
Netherlands,2019,30240,Female
Austria,2019,30144,Female
Poland,2019,9561,Female
Portugal,2019,14713,Female
Romania,2019,7372,Female
Slovenia,2019,17415,Female
Slovakia,2019,9789,Female
Finland,2019,31369,Female
Sweden,2019,29909,Female
Iceland,2019,39657,Female
Norway,2019,44587,Female
Switzerland,2019,48236,Female
United Kingdom,2019,:,Female
Montenegro,2019,5608,Female
North Macedonia,2019,4084,Female
Albania,2019,3768,Female
Serbia,2019,4791,Female
Türkiye,2019,5825,Female
Italy,2018,22609.0,Female
Cyprus,2018,18996.0,Female
Latvia,2018,10667.0,Female
Lithuania,2018,9860.0,Female
Luxembourg,2018,43370.0,Female
Hungary,2018,7046.0,Female
Malta,2018,21809.0,Female
Netherlands,2018,29814.0,Female
Austria,2018,30317.0,Female
Poland,2018,8708.0,Female
Portugal,2018,14082.0,Female
Romania,2018,6519.0,Female
Slovenia,2018,16351.0,Female
Slovakia,2018,9059.0,Female
Finland,2018,30484.0,Female
Sweden,2018,30605.0,Female
Iceland,2018,43529.0,Female
Norway,2018,44965.0,Female
Switzerland,2018,52142.0,Female
United Kingdom,2018,27273.0,Female
Montenegro,2018,5573.0,Female
North Macedonia,2018,3786.0,Female
Albania,2018,3358.0,Female
Serbia,2018,3916.0,Female
Türkiye,2018,6968.0,Female
Italy,2017,22207,Female
Cyprus,2017,18488,Female
Latvia,2017,9711,Female
Lithuania,2017,9029,Female
Luxembourg,2017,44513,Female
Hungary,2017,7063,Female
Malta,2017,21893,Female
Netherlands,2017,29802,Female
Austria,2017,30774,Female
Poland,2017,8186,Female
Portugal,2017,13928,Female
Romania,2017,4838,Female
Slovenia,2017,15810,Female
Slovakia,2017,8414,Female
Finland,2017,29635,Female
Sweden,2017,29892,Female
Iceland,2017,35978,Female
Norway,2017,43935,Female
Switzerland,2017,55886,Female
United Kingdom,2017,26511,Female
Montenegro,2017,5587,Female
North Macedonia,2017,3656,Female
Albania,2017,3185,Female
Serbia,2017,3806,Female
Türkiye,2017,8261,Female
Belgium,2023,35236,Total
Bulgaria,2023,10774,Total
Czechia,2023,18328,Total
Denmark,2023,40124,Total
Germany,2023,36000,Total
Estonia,2023,20241,Total
Ireland,2023,37886,Total
Greece,2023,13279,Total
Spain,2023,24025,Total
France,2023,31837,Total
Croatia,2023,14011,Total
Italy,2023,26826,Total
Cyprus,2023,23966,Total
Latvia,2023,16156,Total
Lithuania,2023,16282,Total
Luxembourg,2023,60900,Total
Hungary,2023,10701,Total
Malta,2023,27810,Total
Netherlands,2023,35950,Total
Austria,2023,37322,Total
Poland,2023,12911,Total
Portugal,2023,17172,Total
Romania,2023,11118,Total
Slovenia,2023,22045,Total
Slovakia,2023,10569,Total
Finland,2023,34694,Total
Sweden,2023,33278,Total
Iceland,2023,:,Total
Norway,2023,47498,Total
Switzerland,2023,63193,Total
United Kingdom,2023,:,Total
Montenegro,2023,:,Total
North Macedonia,2023,:,Total
Albania,2023,:,Total
Serbia,2023,:,Total
Türkiye,2023,5340,Total
Belgium,2022,34003,Total
Bulgaria,2022,9248,Total
Czechia,2022,16560,Total
Denmark,2022,38619,Total
Germany,2022,34335,Total
Estonia,2022,19754,Total
Ireland,2022,36444,Total
Greece,2022,12493,Total
Spain,2022,22300,Total
France,2022,30231,Total
Croatia,2022,12610,Total
Italy,2022,24770,Total
Cyprus,2022,22965,Total
Latvia,2022,14852,Total
Lithuania,2022,14869,Total
Luxembourg,2022,55526,Total
Hungary,2022,9150,Total
Malta,2022,28323,Total
Netherlands,2022,35007,Total
Austria,2022,33334,Total
Poland,2022,11782,Total
Portugal,2022,15704,Total
Romania,2022,9591,Total
Slovenia,2022,20326,Total
Slovakia,2022,10431,Total
Finland,2022,33794,Total
Sweden,2022,32957,Total
Iceland,2022,:,Total
Norway,2022,44584,Total
Switzerland,2022,59063,Total
United Kingdom,2022,:,Total
Montenegro,2022,6429,Total
North Macedonia,2022,:,Total
Albania,2022,:,Total
Serbia,2022,6282,Total
Türkiye,2022,5089,Total
Belgium,2021,32506,Total
Bulgaria,2021,8290,Total
Czechia,2021,14498,Total
Denmark,2021,37768,Total
Germany,2021,34358,Total
Estonia,2021,16648,Total
Ireland,2021,35739,Total
Greece,2021,11900,Total
Spain,2021,21393,Total
France,2021,29552,Total
Croatia,2021,11917,Total
Italy,2021,24288,Total
Cyprus,2021,21592,Total
Latvia,2021,13566,Total
Lithuania,2021,13771,Total
Luxembourg,2021,51908,Total
Hungary,2021,9208,Total
Malta,2021,26650,Total
Netherlands,2021,33729,Total
Austria,2021,32710,Total
Poland,2021,11046,Total
Portugal,2021,16381,Total
Romania,2021,9060,Total
Slovenia,2021,19000,Total
Slovakia,2021,10236,Total
Finland,2021,32147,Total
Sweden,2021,31534,Total
Iceland,2021,:,Total
Norway,2021,41058,Total
Switzerland,2021,58051,Total
United Kingdom,2021,:,Total
Montenegro,2021,5933,Total
North Macedonia,2021,:,Total
Albania,2021,4348,Total
Serbia,2021,5886,Total
Türkiye,2021,5165,Total
Belgium,2020,32460,Total
Bulgaria,2020,7811,Total
Czechia,2020,14737,Total
Denmark,2020,36278,Total
Germany,2020,34790,Total
Estonia,2020,16422,Total
Ireland,2020,33324,Total
Greece,2020,11997,Total
Spain,2020,21571,Total
France,2020,29103,Total
Croatia,2020,11197,Total
Italy,2020,24423,Total
Cyprus,2020,21842,Total
Latvia,2020,12778,Total
Lithuania,2020,12750,Total
Luxembourg,2020,49865,Total
Hungary,2020,9121,Total
Malta,2020,25064,Total
Netherlands,2020,31999,Total
Austria,2020,32365,Total
Poland,2020,10798,Total
Portugal,2020,15670,Total
Romania,2020,8029,Total
Slovenia,2020,18394,Total
Slovakia,2020,10541,Total
Finland,2020,32822,Total
Sweden,2020,30241,Total
Iceland,2020,:,Total
Norway,2020,45999,Total
Switzerland,2020,55042,Total
United Kingdom,2020,:,Total
Montenegro,2020,5910,Total
North Macedonia,2020,4322,Total
Albania,2020,4329,Total
Serbia,2020,5313,Total
Türkiye,2020,5792,Total
Belgium,2019,31045,Total
Bulgaria,2019,7282,Total
Czechia,2019,13611,Total
Denmark,2019,36742,Total
Germany,2019,29350,Total
Estonia,2019,15837,Total
Ireland,2019,31612,Total
Greece,2019,11277,Total
Spain,2019,20999,Total
France,2019,27749,Total
Croatia,2019,10780,Total
Italy,2019,23491,Total
Cyprus,2019,21124,Total
Latvia,2019,12504,Total
Lithuania,2019,11565,Total
Luxembourg,2019,46328,Total
Hungary,2019,8229,Total
Malta,2019,23083,Total
Netherlands,2019,30959,Total
Austria,2019,30905,Total
Poland,2019,9840,Total
Portugal,2019,15140,Total
Romania,2019,7496,Total
Slovenia,2019,17808,Total
Slovakia,2019,10189,Total
Finland,2019,32027,Total
Sweden,2019,29901,Total
Iceland,2019,41535,Total
Norway,2019,45501,Total
Switzerland,2019,51924,Total
United Kingdom,2019,:,Total
Montenegro,2019,5695,Total
North Macedonia,2019,4063,Total
Albania,2019,4083,Total
Serbia,2019,4870,Total
Türkiye,2019,5671,Total
Belgium,2018,30644.0,Total
Bulgaria,2018,6015.0,Total
Czechia,2018,12331.0,Total
Denmark,2018,35774.0,Total
Germany,2018,28728.0,Total
Estonia,2018,14717.0,Total
Ireland,2018,31068.0,Total
Greece,2018,10850.0,Total
Spain,2018,20893.0,Total
France,2018,27036.0,Total
Croatia,2018,10258.0,Total
Italy,2018,23296.0,Total
Cyprus,2018,19503.0,Total
Latvia,2018,11340.0,Total
Lithuania,2018,10427.0,Total
Luxembourg,2018,44144.0,Total
Hungary,2018,7341.0,Total
Malta,2018,22407.0,Total
Netherlands,2018,30418.0,Total
Austria,2018,30743.0,Total
Poland,2018,8981.0,Total
Portugal,2018,14592.0,Total
Romania,2018,6596.0,Total
Slovenia,2018,16783.0,Total
Slovakia,2018,9148.0,Total
Finland,2018,31155.0,Total
Sweden,2018,30789.0,Total
Iceland,2018,44911.0,Total
Norway,2018,45927.0,Total
Switzerland,2018,54014.0,Total
United Kingdom,2018,28046.0,Total
Montenegro,2018,5681.0,Total
North Macedonia,2018,3794.0,Total
Albania,2018,3531.0,Total
Serbia,2018,4012.0,Total
Türkiye,2018,6868.0,Total
Belgium,2017,29763,Total
Bulgaria,2017,6075,Total
Czechia,2017,11276,Total
Denmark,2017,35114,Total
Germany,2017,27803,Total
Estonia,2017,13143,Total
Ireland,2017,30412,Total
Greece,2017,10680,Total
Spain,2017,20353,Total
France,2017,27279,Total
Croatia,2017,9531,Total
Italy,2017,22723,Total
Cyprus,2017,19406,Total
Latvia,2017,10158,Total
Lithuania,2017,9411,Total
Luxembourg,2017,46626,Total
Hungary,2017,7277,Total
Malta,2017,22929,Total
Netherlands,2017,30036,Total
Austria,2017,31117,Total
Poland,2017,8475,Total
Portugal,2017,14493,Total
Romania,2017,4850,Total
Slovenia,2017,16351,Total
Slovakia,2017,8617,Total
Finland,2017,30212,Total
Sweden,2017,30121,Total
Iceland,2017,37067,Total
Norway,2017,45164,Total
Switzerland,2017,57051,Total
United Kingdom,2017,27351,Total
Montenegro,2017,5600,Total
North Macedonia,2017,3620,Total
Albania,2017,3316,Total
Serbia,2017,3812,Total
Türkiye,2017,8026,Total
