Country,Year,Population Percent,Educational Level
Switzerland,2018,37.7,Level 5-8
United Kingdom,2018,39.3,Level 5-8
Bosnia and Herzegovina,2018,:,Level 5-8
Montenegro,2018,20.3,Level 5-8
North Macedonia,2018,17.6,Level 5-8
Serbia,2018,20.4,Level 5-8
Türkiye,2018,17.3,Level 5-8
Belgium,2019,36,Level 5-8
Bulgaria,2019,24.7,Level 5-8
Czechia,2019,21.6,Level 5-8
Denmark,2019,33.4,Level 5-8
Germany,2019,26,Level 5-8
Estonia,2019,34.7,Level 5-8
Ireland,2019,40.7,Level 5-8
Greece,2019,27.8,Level 5-8
Spain,2019,35.1,Level 5-8
France,2019,33.8,Level 5-8
Croatia,2019,22.1,Level 5-8
Italy,2019,17.5,Level 5-8
Cyprus,2019,40.5,Level 5-8
Latvia,2019,31.4,Level 5-8
Lithuania,2019,37.9,Level 5-8
Luxembourg,2019,41,Level 5-8
Hungary,2019,22.5,Level 5-8
Malta,2019,27,Level 5-8
Netherlands,2019,34.8,Level 5-8
Austria,2019,31.1,Level 5-8
Poland,2019,28.6,Level 5-8
Portugal,2019,23.9,Level 5-8
Romania,2019,16,Level 5-8
Slovenia,2019,29.3,Level 5-8
Slovakia,2019,23.1,Level 5-8
Finland,2019,38.5,Level 5-8
Sweden,2019,37.8,Level 5-8
Iceland,2019,37.7,Level 5-8
Norway,2019,37.7,Level 5-8
Switzerland,2019,38.6,Level 5-8
United Kingdom,2019,40.6,Level 5-8
Bosnia and Herzegovina,2019,:,Level 5-8
Montenegro,2019,21.8,Level 5-8
North Macedonia,2019,18.3,Level 5-8
Serbia,2019,20.6,Level 5-8
Türkiye,2019,18.4,Level 5-8
Belgium,2020,37.6,Level 5-8
Bulgaria,2020,25.8,Level 5-8
Czechia,2020,22.1,Level 5-8
Denmark,2020,33.7,Level 5-8
Germany,2020,27.2,Level 5-8
Estonia,2020,35.2,Level 5-8
Ireland,2020,42.8,Level 5-8
Greece,2020,28.5,Level 5-8
Spain,2020,36,Level 5-8
France,2020,35.3,Level 5-8
Croatia,2020,22.3,Level 5-8
Italy,2020,17.8,Level 5-8
Cyprus,2020,41,Level 5-8
Latvia,2020,33.2,Level 5-8
Lithuania,2020,38.7,Level 5-8
Luxembourg,2020,40.9,Level 5-8
Hungary,2020,23.6,Level 5-8
Malta,2020,28.2,Level 5-8
Netherlands,2020,36.6,Level 5-8
Austria,2020,31.3,Level 5-8
Poland,2020,29.3,Level 5-8
Portugal,2020,24.8,Level 5-8
Romania,2020,16.2,Level 5-8
Slovenia,2020,31.5,Level 5-8
Slovakia,2020,23.9,Level 5-8
Finland,2020,39.8,Level 5-8
Sweden,2020,38.3,Level 5-8
Iceland,2020,36.8,Level 5-8
Norway,2020,38.8,Level 5-8
Switzerland,2020,39.3,Level 5-8
United Kingdom,2020,:,Level 5-8
Bosnia and Herzegovina,2020,:,Level 5-8
Montenegro,2020,21.8,Level 5-8
North Macedonia,2020,20,Level 5-8
Serbia,2020,21,Level 5-8
Türkiye,2020,19.7,Level 5-8
Belgium,2021,39.7,Level 5-8
Bulgaria,2021,26.1,Level 5-8
Czechia,2021,23.4,Level 5-8
Denmark,2021,34.8,Level 5-8
Germany,2021,28,Level 5-8
Estonia,2021,36,Level 5-8
Ireland,2021,45.4,Level 5-8
Greece,2021,30.1,Level 5-8
Spain,2021,36.2,Level 5-8
France,2021,36.3,Level 5-8
